id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-6T5d00dLOptS0Ss4xsisEq,breakbeat,Breakbeat,One Time for the DJ (Dj Icey Remix),Tony Faline,13,0.398,0.889,tense,6T5d00dLOptS0Ss4xsisEq,,,https://www.youtube.com/results?search_query=Tony%20Faline%20One%20Time%20for%20the%20DJ%20(Dj%20Icey%20Remix)%20official%20audio
spotify-4NHDT67YFW84LJPbDHdQo5,breakbeat,Breakbeat,Security,Freestylers,13,0.483,0.907,tense,4NHDT67YFW84LJPbDHdQo5,,,https://www.youtube.com/results?search_query=Freestylers%20Security%20official%20audio
spotify-6TzYMmTsjyTIf1cSSuOcAw,breakbeat,Breakbeat,Stiletto,The Rogue Element,13,0.339,0.893,tense,6TzYMmTsjyTIf1cSSuOcAw,,,https://www.youtube.com/results?search_query=The%20Rogue%20Element%20Stiletto%20official%20audio
spotify-38BkqQw3p2fwjkj09ZFeAv,breakbeat,Breakbeat,You Make Me Feel - Under This Remix,"Deibeat, Under This",13,0.0374,0.995,tense,38BkqQw3p2fwjkj09ZFeAv,,,https://www.youtube.com/results?search_query=Deibeat%2C%20Under%20This%20You%20Make%20Me%20Feel%20-%20Under%20This%20Remix%20official%20audio
spotify-3NWNLfqhsKToB2SHIFb3pG,chicago-house,Chicago House,Dancin (feat. Luvli) - DJ PP Remix,"Aaron Smith, DJ PP, Luvli",13,0.237,0.694,tense,3NWNLfqhsKToB2SHIFb3pG,,,https://www.youtube.com/results?search_query=Aaron%20Smith%2C%20DJ%20PP%2C%20Luvli%20Dancin%20(feat.%20Luvli)%20-%20DJ%20PP%20Remix%20official%20audio
spotify-0V2A9fMfuNUtkTZhYEr9uw,chicago-house,Chicago House,"Flos Potentia (Sugar, Cotton, Tabacco) - Mixed","Ron Trent, Khruangbin",13,0.904,0.814,happy,0V2A9fMfuNUtkTZhYEr9uw,,,https://www.youtube.com/results?search_query=Ron%20Trent%2C%20Khruangbin%20Flos%20Potentia%20(Sugar%2C%20Cotton%2C%20Tabacco)%20-%20Mixed%20official%20audio
spotify-7d25Oab5IditBkf8XBnXeK,chicago-house,Chicago House,"Glancing at the Moon - 12"" Version","Larry Heard, Loosefingers",13,0.769,0.705,happy,7d25Oab5IditBkf8XBnXeK,,,https://www.youtube.com/results?search_query=Larry%20Heard%2C%20Loosefingers%20Glancing%20at%20the%20Moon%20-%2012%22%20Version%20official%20audio
spotify-6A2skETYZgyhmeJez4BV6I,chicago-house,Chicago House,Glimmer,Alinka,13,0.606,0.662,happy,6A2skETYZgyhmeJez4BV6I,,,https://www.youtube.com/results?search_query=Alinka%20Glimmer%20official%20audio
spotify-243G69RorFkN6EmV3T227b,chicago-house,Chicago House,I Can Dance,Fast Eddie,13,0.903,0.91,happy,243G69RorFkN6EmV3T227b,,,https://www.youtube.com/results?search_query=Fast%20Eddie%20I%20Can%20Dance%20official%20audio
spotify-7zw9dCl3DhKyakaZFfjY5k,chicago-house,Chicago House,I Wonder Why,Paul Johnson,13,0.497,0.874,tense,7zw9dCl3DhKyakaZFfjY5k,,,https://www.youtube.com/results?search_query=Paul%20Johnson%20I%20Wonder%20Why%20official%20audio
